System,Name,Year,ROM Name,Players,Joystick Input,Other Input,Buttons,Vertical,Manufacturers,Player Legends 2,Retro Arcade 2 Elites,Other CoinOps
arcade,Galaga,1981,Street Fighter Alpha 3 MAX,2,8 way,none,6,HORIZONTAL,Capcom,Yes,Yes,Maybe
arcade,Galaga '88,1987,sfa3,2,8 way,none,6,HORIZONTAL,Capcom,Yes,Yes,Maybe
arcade,Galaxian,1979,sfa3ud,2,8 way,none,6,HORIZONTAL,Capcom,Yes,Yes,Maybe
arcade,Galaxy Fight: Universal Warriors,1995,sfex2,2,8 way,none,6,HORIZONTAL,Capcom / Arika,No,No,Yes
arcade,Galaxy Force 2,1988,sfiii2n,1,8 way,stick,6,HORIZONTAL,Capcom,Yes,Yes,Maybe
arcade,Galaxy Ranger,1983,sfiii3n,1,8 way,none,6,HORIZONTAL,Capcom,No,No,Yes
arcade,Galmedes,1992,sfiiin,2,8 way,none,6,HORIZONTAL,Capcom,No,No,Yes
arcade,Gals Panic 2,1993,sfposeid,2,8 way,none,2,HORIZONTAL,Taito,No,No,Yes
arcade,Gals Panic S2,1999,sftm,2,8 way,none,6,HORIZONTAL,Capcom / Incredible Technologies,No,No,Yes
arcade,"Game Paradise, The: Master of Shooting!",1995,sgemf,2,8 way,none,3,HORIZONTAL,Capcom,No,No,Yes
arcade,Gang Busters,1988,shadfrce,2,8 way,none,6,HORIZONTAL,Technos Japan / Technos Japan Corp.,Yes,Yes,Maybe
arcade,Gang Wars,1989,shangon,2,analog,none,1,HORIZONTAL,SEGA / bootleg,No,No,Yes
arcade,Ganryu,1999,sharrier,2,analog,none,3,HORIZONTAL,SEGA,No,No,Yes
arcade,Gaplus,1984,shdancer,2,8 way,none,3,HORIZONTAL,SEGA,Yes,Yes,Maybe
arcade,Garou: Mark of the Wolves,1999,shienryu,2,8 way,none,4,VERTICAL,Warashi,Yes,Yes,Maybe
arcade,Garyo Retsuden,1987,shinobi,2,8 way,none,3,HORIZONTAL,SEGA,No,No,Yes
arcade,Gate of Doom,1990,shocktr2,2,8 way,none,4,HORIZONTAL NEOGEO,Saurus / SNK,No,No,Yes
arcade,Gauntlet,1985,shocktro,4,8 way,none,4,HORIZONTAL NEOGEO,Saurus / SNK,No,No,Yes
arcade,Gauntlet,1985,shollow,4,4 way,none,2,VERTICAL,Bally Midway / Arcade Engineering,No,No,Yes
arcade,Gauntlet 2,1986,sidearms,4,8 way,none,3,HORIZONTAL,Capcom,No,No,Yes
arcade,Gauntlet 2,1986,sidepckt,4,8 way,none,2,HORIZONTAL,Data East,Yes,Yes,Maybe
arcade,Gauntlet Legends,1998,silentd,4,8 way,stick,3,HORIZONTAL,Taito,No,No,Yes
arcade,Gekirindan,1995,silkworm,4,8 way,dial,3,HORIZONTAL,Tecmo,No,No,Yes
arcade,Gemini Wing,1987,simpsons2p,2,8 way,none,2,HORIZONTAL,Konami,No,No,Yes
arcade,Genix Family,1994,sinistar,2,analog,none,2,VERTICAL,Williams,No,No,Yes
arcade,Genpei ToumaDen,1986,slammast,2,8 way,none,3,HORIZONTAL,Capcom,No,No,Yes
arcade,Ghost Pilots,1991,slapfigh,2,8 way,none,2,VERTICAL,Toaplan / Taito,No,Yes,Maybe
arcade,Ghostlop,1996,slyspy,2,8 way,none,2,HORIZONTAL,Data East,No,No,Yes
arcade,Ghosts'n Goblins,1985,smashtv,2,twin stick,none,0,HORIZONTAL,Williams,Yes,Yes,Maybe
arcade,Ghouls'n Ghosts,1988,smgp,2,analog,none,2,HORIZONTAL,SEGA,Yes,Yes,Maybe
arcade,Ghox,1991,snowbro2,2,8 way,dial,2,HORIZONTAL,Hanafram / Toaplan,No,No,Yes
arcade,Giga Wing,1999,snowbros,2,8 way,none,3,HORIZONTAL,Toaplan,Yes,Yes,Maybe
arcade,Gigandes,1989,socbrawl,2,8 way,none,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Gladiator,1986,sokyugrt,2,8 way,none,4,HORIZONTAL,Raizing / Eighting,Yes,Yes,Maybe
arcade,"Gladiator, The",2003,soldivid,4,8 way,none,3,HORIZONTAL,Psikyo,Yes,Yes,Maybe
arcade,Go Go Mr. Yamaguchi,1985,solomon,2,8 way,none,2,HORIZONTAL,Tecmo,No,No,Yes
arcade,Goal! Goal! Goal!,1995,sonicwi2,2,8 way,none,4,HORIZONTAL NEOGEO,Video System Co. / Video System,No,No,Yes
arcade,Gogetsuji Legends,1995,sonicwi3,2,8 way,none,4,HORIZONTAL NEOGEO,Video System Co. / Video System,No,No,Yes
arcade,Gokujyou Parodius,1994,sonson,4,4 way,none,1,HORIZONTAL,Capcom,No,No,Yes
arcade,Gold Medalist,1988,soulclbr,4,8 way,only_buttons,6,HORIZONTAL,Namco,No,No,Yes
arcade,"Golden Axe (set 6, US)",1989,spang,2,4 way,none,2,HORIZONTAL,Mitchell / Capcom,Yes,Yes,Maybe
arcade,Golden Axe: The Duel,1994,spelunk2,2,8 way,none,2,HORIZONTAL,Irem / licensed from Broderbund,No,No,Yes
arcade,Golden Axe: The Revenge of Death Adder,1992,spf2t,4,8 way,none,2,HORIZONTAL,Capcom,Yes,Yes,Maybe
arcade,Golden Tee '99,1999,spidman,2,8 way,trackball,2,HORIZONTAL,SEGA,No,Yes,Maybe
arcade,Golden Tee 2K,2000,spinmast,2,8 way,trackball,4,HORIZONTAL NEOGEO,Data East,No,No,Yes
arcade,Golden Tee Fore! 2006 Complete,2005,splatter,1,8 way,lightgun / trackball,3,HORIZONTAL,Namco,Yes,Yes,Maybe
arcade,Golden Tee Golf,1990,spnchout,2,4 way,none,4,VERTICAL,Nintendo,No,No,Yes
arcade,Golden Tee Golf 2,1992,spy,2,8 way,trackball,2,HORIZONTAL,Konami,No,No,Yes
arcade,Gondomania,1987,spyhunt,2,analog,positional,5,VERTICAL,Bally Midway,No,No,Yes
arcade,Gorf,1981,sqix,2,4 way,none,2,VERTICAL,Kaneko / Taito,Yes,No,Maybe
arcade,Gradius,1985,srumbler,2,8 way,none,2,VERTICAL,Capcom,No,Yes,Maybe
arcade,Gradius 2: GOFER no Yabou,1988,ssf2,2,8 way,none,6,HORIZONTAL,Capcom,Yes,Yes,Maybe
arcade,Gradius 3,1989,ssf2t,2,8 way,none,6,HORIZONTAL,Capcom,No,No,Yes
